2023-05-19 10:14:23 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 10:14:23
2023-05-19 10:14:23 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 10:15:54 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 10:15:54
2023-05-19 10:15:54 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 10:16:48 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 10:16:48
2023-05-19 10:16:48 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 10:36:37 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 10:36:37
2023-05-19 10:36:37 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 10:37:04 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 10:37:04
2023-05-19 10:37:04 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 10:38:23 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 10:38:23
2023-05-19 10:38:23 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 10:41:11 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 10:41:11
2023-05-19 10:41:11 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 11:08:31 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 11:08:31
2023-05-19 11:08:31 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-19 11:18:31 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-19 11:18:31
2023-05-19 11:18:31 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
